"","Item","Team 10101Edutronic","Team 10102Ecotech Team 1202","Team 10103BeSmart","Team 10104Sonix","Team 10105TechTastic","Team 10106EduConnected","Team 10107Green Connection","Team 10108Team 1208","Team 10109FirstFuture","Team 10110 MD","Team 10111GeishaTech","Team 10112IGL","Team 10113Suture to Future","Team 10114BuzzNet","Team 10115Circle","Team 10116Happy Laps","Team 10117Green Wire","Team 10118YGTech","Team 10119Terra","Team 10120GreenTech","Team 10121PBS Laptops"
"339","ECOBOOK_AZIE_VOEDING_KWALITEIT","3","3","3","4","3","3","3","3","4","3","3","3","3","5","3","3","3","3","3","3","3"
"340","ECOBOOK_AZIE_BEHUIZING_KWALITEIT","3","3","3","4","4","3","3","3","4","3","3","3","3","5","3","3","3","3","3","3","3"
"341","Fiets van de zaak","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"342","Korting op openbaar vervoer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"343","Korting voor carpoolers","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"344","Eigen kinderdagverblijf","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"345","Vrouwen naar de top","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"346","Flexibiliteit in werkroosters","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"347","Betere arbeidsomstandigheden","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"348","Onderzoek naar personeelstevredenheid","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"349","Gelijke kansen voor achterstandsgroepen","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"350","Gemeenschapswerk onder werktijd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"351","Personeelstrainingen over duurzaamheid","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"352","Duurzame investeringen bedrijfspensioenfonds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"353","Fiets van de zaak","1","0","1","1","1","0","1","0","0","1","1","1","1","1","0","1","0","1","0","0","1"
"354","Korting op openbaar vervoer","1","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1"
"355","Korting voor carpoolers","1","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1"
"356","Eigen kinderdagverblijf","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1"
"357","Vrouwen naar de top","1","0","1","0","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1"
"358","Flexibiliteit in werkroosters","1","0","1","0","1","1","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1"
"359","Betere arbeidsomstandigheden","1","0","1","1","1","1","1","0","1","1","0","1","1","1","1","0","1","1","0","1","1"
"360","Onderzoek naar personeelstevredenheid","1","0","1","0","0","1","1","1","0","1","0","1","0","1","1","0","0","1","0","1","1"
"361","Gelijke kansen voor achterstandsgroepen","1","0","1","0","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1"
"362","Gemeenschapswerk onder werktijd","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1"
"363","Personeelstrainingen over duurzaamheid","1","0","1","1","0","1","1","1","0","1","1","1","1","1","0","1","0","0","0","0","1"
"364","Duurzame investeringen bedrijfspensioenfonds","1","0","1","1","1","1","1","0","0","1","1","1","0","1","1","1","0","1","0","1","1"
"365","Fiets van de zaak","0","0","0","0","1","1","1","0","0","1","1","1","0","1","0","1","0","0","0","0","0"
"366","Korting op openbaar vervoer","1","0","0","0","1","1","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0"
"367","Korting voor carpoolers","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"368","Eigen kinderdagverblijf","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
